,,high,neutral,low,average
ACTN2,ENSG00000077522.8,70.0,48.0,4.0,0.40889344262295085
ACTN3,ENSG00000248746.1,18.0,95.0,9.0,0.08527049180327871
ACTN4,ENSG00000130402.7,21.0,88.0,13.0,0.09301639344262294
ACTR10,ENSG00000131966.8,4.0,88.0,30.0,-0.05915573770491804
ACTR1A,ENSG00000138107.7,3.0,99.0,20.0,-0.05774590163934429
ACTR1B,ENSG00000115073.6,17.0,93.0,12.0,0.08185245901639339
ACTR2,ENSG00000138071.9,11.0,100.0,11.0,0.027016393442622952
ACTR3,ENSG00000115091.7,8.0,97.0,17.0,0.015377049180327874
ACTR3B,ENSG00000133627.13,17.0,87.0,18.0,0.047819672131147524
ACTR3C,ENSG00000106526.6,21.0,87.0,14.0,0.1069918032786885
ACTR5,ENSG00000101442.8,35.0,83.0,4.0,0.17953278688524593
ACTR6,ENSG00000075089.5,6.0,95.0,21.0,-0.03483606557377048
ACTR8,ENSG00000113812.9,4.0,85.0,33.0,-0.07743442622950822
ACTRT2,ENSG00000169717.5,24.0,50.0,48.0,-0.06902459016393443
ACTRT3,ENSG00000184378.2,31.0,87.0,4.0,0.20156557377049178
ACVR1,ENSG00000115170.9,7.0,98.0,17.0,0.006721311475409834
ACVR1B,ENSG00000135503.8,6.0,99.0,17.0,-0.009672131147541
ACVR1C,ENSG00000123612.10,7.0,98.0,17.0,0.006721311475409834
ACVR2A,ENSG00000121989.10,8.0,92.0,22.0,-0.006844262295081967
ACVR2B,ENSG00000114739.8,8.0,94.0,20.0,-0.01585245901639345
ACVRL1,ENSG00000139567.8,6.0,99.0,17.0,-0.010639344262295099
ACY1,ENSG00000243989.3,3.0,83.0,36.0,-0.10632786885245905
ACY3,ENSG00000132744.3,23.0,89.0,10.0,0.18603278688524577
ACYP1,ENSG00000119640.4,3.0,83.0,36.0,-0.08970491803278685
ACYP2,ENSG00000170634.8,10.0,98.0,14.0,0.01501639344262296
ADA,ENSG00000196839.8,37.0,79.0,6.0,0.19673770491803277
ADAD1,ENSG00000164113.6,3.0,99.0,20.0,-0.043598360655737696
ADAD2,ENSG00000140955.6,3.0,56.0,63.0,-0.2394262295081967
ADAL,ENSG00000168803.10,3.0,86.0,33.0,-0.13345901639344268
ADAM10,ENSG00000137845.10,3.0,90.0,29.0,-0.1011967213114754
ADAM11,ENSG00000073670.9,12.0,73.0,37.0,-0.06933606557377048
ADAM12,ENSG00000148848.10,5.0,96.0,21.0,-0.037467213114754094
ADAM15,ENSG00000143537.9,84.0,38.0,0.0,0.5876721311475411
ADAM17,ENSG00000151694.8,15.0,92.0,15.0,0.017377049180327876
ADAM18,ENSG00000168619.11,40.0,58.0,24.0,0.35525409836065586
ADAM19,ENSG00000135074.11,10.0,94.0,18.0,-0.0007704918032786954
ADAM1A,ENSG00000229186.3,3.0,96.0,23.0,-0.0660327868852459
ADAM2,ENSG00000104755.10,38.0,59.0,25.0,0.32444262295081977
